AIRPORT_CODE,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME,STATE_NAME,STATE_CODE,COUNTRY_NAME,CITY_NAME
YAA,52.45222222,-125.30444444,Anahim Lake Airport,British Columbia,BC,Canada,Anahim Lake
AKP,68.13361111,-151.74333333,Anaktuvuk Pass Airport,Alaska,AK,United States,Anaktuvuk Pass
UAM,13.58388889,144.93,Andersen AFB,U.S. Pacific Trust Territories and Possessions,TT,United States,Guam
WA9,48.105,-119.72055556,Anderson Field,Washington,WA,United States,Brewster
AID,40.10861111,-85.61305556,Anderson Municipal-Darlington Field,Indiana,IN,United States,Anderson
AND,34.49444444,-82.70944444,Anderson Regional,South Carolina,SC,United States,Anderson
AWX,32.33083333,-102.52972222,Andrews County,Texas,TX,United States,Andrews
AXX,36.42194444,-105.29,Angel Fire,New Mexico,NM,United States,Eagle Nest
LFK,31.23416667,-94.75,Angelina County,Texas,TX,United States,Lufkin
AGN,57.50388889,-134.58333333,Angoon Seaplane Base,Alaska,AK,United States,Angoon
JZX,38.58,-122.43555556,Angwin-Parrett Field,California,CA,United States,Angwin
ANI,61.58166667,-159.54305556,Aniak Airport,Alaska,AK,United States,Aniak
AMK,37.20305556,-107.86916667,Animas Air Park,Colorado,CO,United States,Durango
AIB,56.19,-132.44583333,Anita Bay Airport,Alaska,AK,United States,Anita Bay
IKV,41.69138889,-93.56638889,Ankeny Regional,Iowa,IA,United States,Ankeny
ARB,42.22305556,-83.74555556,Ann Arbor Municipal,Michigan,MI,United States,Ann Arbor
ANN,55.04222222,-131.57083333,Annette Island,Alaska,AK,United States,Annette
FQE,58.31333333,-134.10416667,Annex Creek Airport,Alaska,AK,United States,Annex Creek
ANB,33.58805556,-85.85805556,Anniston Regional,Alabama,AL,United States,Anniston
MN7,45.145,-93.21027778,Anoka County Blaine,Minnesota,MN,United States,Minneapolis
AFP,35.02055556,-80.07722222,Anson County Jeff Cloud Field,North Carolina,NC,United States,Wadesboro
ATE,34.1925,-95.64972222,Antlers Municipal,Oklahoma,OK,United States,Antlers
VQS,18.13472222,-65.49361111,Antonio Rivera Rodriguez,Puerto Rico,PR,United States,Vieques
ARE,18.45083333,-66.67555556,Antonio/Nery/Juarbe Pol,Puerto Rico,PR,United States,Arecibo
ACB,44.98861111,-85.19833333,Antrim County,Michigan,MI,United States,Bellaire
ANV,62.64722222,-160.19,Anvik Airport,Alaska,AK,United States,Anvik
AAF,29.7275,-85.0275,Apalachicola Regional Cleve Randolph Field,Florida,FL,United States,Apalachicola
JRC,44.00138889,-92.48055556,Appache Heliport,Minnesota,MN,United States,Rochester
APV,34.57527778,-117.18611111,Apple Valley Airport,California,CA,United States,Apple Valley
ATW,44.25805556,-88.51916667,Appleton International,Wisconsin,WI,United States,Appleton
YQJ,50.06527778,-125.2275,April Point Resort,British Columbia,BC,Canada,Quadra Island
RKP,28.08611111,-97.04361111,Aransas County,Texas,TX,United States,Rockport
ARC,68.11472222,-145.57944444,Arctic Village Airport,Alaska,AK,United States,Arctic Village
AHD,34.14694444,-97.12277778,Ardmore Downtown Executive,Oklahoma,OK,United States,Ardmore
ADM,34.30388889,-97.02055556,Ardmore Municipal,Oklahoma,OK,United States,Ardmore
BYH,35.96444444,-89.94388889,Arkansas International,Arkansas,AR,United States,Blytheville
A16,70.74694444,-155.36083333,Arley Lake Airport,Alaska,AK,United States,Arley Lake
VWO,48.16083333,-122.15916667,Arlington Municipal,Washington,WA,United States,Arlington
JZT,32.66388889,-97.09416667,Arlington Municipal,Texas,TX,United States,Arlington
TUH,35.3925,-86.08583333,Arnold AFB,Tennessee,TN,United States,Tullahoma
LBE,40.27305556,-79.41027778,Arnold Palmer Regional,Pennsylvania,PA,United States,Latrobe
ATS,32.85194444,-104.4675,Artesia Municipal,New Mexico,NM,United States,Artesia
XXG,42.5,-71.11777778,Arthur D. Little Heliport,Massachusetts,MA,United States,Cambridge
CIN,42.04666667,-94.78861111,Arthur N Neu,Iowa,IA,United States,Carroll
YEK,61.09388889,-94.07166667,Arviat Airport,Nunavut Territory,NU,Canada,Arviat
YAF,45.79166667,-71.99111111,Asbestos,Quebec,QC,Canada,Asbestos Hill
ARX,40.18333333,-74.11666667,Asbury Park/Monmouth County,New Jersey,NJ,United States,Asbury Park
AVL,35.43444444,-82.54277778,Asheville Regional,North Carolina,NC,United States,Asheville
O6H,40.90305556,-82.25555556,Ashland County,Ohio,OH,United States,Ashland
XXU,42.19027778,-122.66055556,Ashland Municipal-Sumner Parker Field,Oregon,OR,United States,Ashland
ASY,46.02305556,-99.35277778,Ashley Municipal,North Dakota,ND,United States,Ashley
ASE,39.22194444,-106.86833333,Aspen Pitkin County Sardy Field,Colorado,CO,United States,Aspen
AST,46.15805556,-123.87861111,Astoria Regional,Oregon,OR,United States,Astoria/Seaside
QAS,29.67777778,-95.41194444,Astrodomain Helipad,Texas,TX,United States,Houston
JMA,29.68333333,-95.4,Astrodome,Texas,TX,United States,Houston
QHI,29.68361111,-95.5,Astroworld Helipad,Texas,TX,United States,Houston
AHN,33.94861111,-83.32583333,Athens/Ben Epps,Georgia,GA,United States,Athens
YIB,48.77416667,-91.63888889,Atikokan Municipal,Ontario,ON,Canada,Atikokan
AKB,52.22055556,-174.20611111,Atka Airport,Alaska,AK,United States,Atka
PTS,37.45,-94.73111111,Atkinson Municipal,Kansas,KS,United States,Pittsburg
QQT,33.35777778,-84.5725,Atlanta Regional Falcon Field,Georgia,GA,United States,Peachtree City
ACY,39.4575,-74.57722222,Atlantic City International,New Jersey,NJ,United States,Atlantic City
ATT,60.86777778,-162.27416667,Atmautluak Airport,Alaska,AK,United States,Atmautluak
ATK,70.46722222,-157.43555556,Atqasuk Edward Burnell Sr. Memorial,Alaska,AK,United States,Atqasuk
YAT,52.9275,-82.43194444,Attawapiskat Airport,Ontario,ON,Canada,Attawapiskat
LEW,44.04833333,-70.28361111,Auburn Lewiston Municipal,Maine,ME,United States,Lewiston/Auburn
AUN,38.95472222,-121.08166667,Auburn Municipal,California,CA,United States,Auburn
AUO,32.615,-85.43388889,Auburn University Regional,Alabama,AL,United States,Auburn
AGS,33.37,-81.96444444,Augusta Regional at Bush Field,Georgia,GA,United States,Augusta
AUG,44.32055556,-69.79722222,Augusta State,Maine,ME,United States,Augusta/Waterville
09A,59.36277778,-153.43055556,Augustin Island,Alaska,AK,United States,Homer
AUZ,41.77194444,-88.47555556,Aurora Municipal,Illinois,IL,United States,Aurora
FVO,45.24722222,-122.77,Aurora State,Oregon,OR,United States,Aurora
ASQ,39.46805556,-117.1975,Austin Airport,Nevada,NV,United States,Austin
T4X,30.41361111,-97.665,Austin Executive Airpark,Texas,TX,United States,Austin
AUM,43.66277778,-92.93305556,Austin Municipal,Minnesota,MN,United States,Austin/Albert Lea
WUQ,47.00555556,-124.15833333,Avco,Washington,WA,United States,Ocean Shores
SWW,32.46722222,-100.46666667,Avenger Field,Texas,TX,United States,Sweetwater
VWN,34.14972222,-114.26777778,Avi Suquilla,Arizona,AZ,United States,Parker
AVO,27.59138889,-81.52888889,Avon Park Executive,Florida,FL,United States,Avon Park
A28,57.25388889,-154.42222222,Ayakulik River Airport,Alaska,AK,United States,Ayakulik River
XWH,36.83694444,-108.02861111,Aztec Municipal,New Mexico,NM,United States,Aztec
FQX,55.21027778,-132.13194444,Babe Islands Airport,Alaska,AK,United States,Babe Islands
BCJ,37.96666667,-105.76666667,Baca Grande,Colorado,CO,United States,Crestone
AA8,70.1375,-147.03055556,Badami,Alaska,AK,United States,Deadhorse
AIY,39.36,-74.45722222,Bader Field,New Jersey,NJ,United States,Atlantic City
BGT,34.59277778,-113.17194444,Bagdad Airport,Arizona,AZ,United States,Bagdad
YBG,48.33055556,-70.99638889,Bagotville,Quebec,QC,Canada,Saguenay
YBC,49.1325,-68.20444444,Baie Comeau Airport,Quebec,QC,Canada,Baie Comeau
YBJ,50.5,-62.91666667,Baie Johan Beetz Airport,Quebec,QC,Canada,Baie Johan Beetz
BAR,55.36666667,-133.6,Baker AAF,Alaska,AK,United States,Baker Island
BKE,44.83722222,-117.80916667,Baker City Municipal,Oregon,OR,United States,Baker
YBK,64.29888889,-96.07777778,Baker Lake Airport,Nunavut Territory,NU,Canada,Baker Lake
C02,35.32472222,-118.99611111,Bakersfield Municipal,California,CA,United States,Bakersfield
BWI,39.17583333,-76.66888889,Baltimore/Washington International Thurgood Marshall,Maryland,MD,United States,Baltimore
BDY,43.08638889,-124.40777778,Bandon State,Oregon,OR,United States,Bandon
YBA,51.2,-115.53333333,Banff Airport,Alberta,AB,Canada,Banff
BGR,44.8075,-68.82805556,Bangor International,Maine,ME,United States,Bangor
BNG,33.9225,-116.85083333,Banning Municipal,California,CA,United States,Banning
NAX,21.30888889,-158.075,Barbers Point NAS,Hawaii,HI,United States,Kapolei
BKH,22.02277778,-159.785,Barking Sands PMRF,Hawaii,HI,United States,Kekaha
PAH,37.06027778,-88.77305556,Barkley Regional,Kentucky,KY,United States,Paducah
BAD,32.50194444,-93.6625,Barksdale AFB,Louisiana,LA,United States,Shreveport
HYA,41.66944444,-70.28027778,Barnstable Municipal-Boardman/Polando Field,Massachusetts,MA,United States,Hyannis
BNL,33.25777778,-81.38833333,Barnwell Regional,South Carolina,SC,United States,Barnwell
WDR,33.98277778,-83.6675,Barrow County,Georgia,GA,United States,Winder
DAG,34.85361111,-116.78666667,Barstow/Daggett,California,CA,United States,Daggett
BTI,70.11305556,-143.65361111,Barter Island Airport,Alaska,AK,United States,Barter Island
BVO,36.76333333,-96.01111111,Bartlesville Municipal,Oklahoma,OK,United States,Bartlesville
BQV,58.45527778,-135.88527778,Bartlett Cove Seaplane Base,Alaska,AK,United States,Bartlett Cove
BSZ,58.21611111,-157.3525,Bartletts Airport,Alaska,AK,United States,Bartletts
A2K,58.23305556,-157.36638889,Bartletts Airport,Alaska,AK,United States,Bartletts
BOW,27.94333333,-81.78333333,Bartow Municipal,Florida,FL,United States,Bartow
GA1,34.68861111,-85.29027778,Barwick Lafayette,Georgia,GA,United States,Lafayette
BVX,35.72611111,-91.6475,Batesville Regional,Arkansas,AR,United States,Batesville
ZBF,47.62944444,-65.74027778,Bathurst Airport,New Brunswick,NB,Canada,Bathurst
BTR,30.53305556,-91.15,Baton Rouge Metropolitan/Ryan Field,Louisiana,LA,United States,Baton Rouge
RAC,42.76111111,-87.81388889,Batten International,Wisconsin,WI,United States,Racine
BAM,40.59916667,-116.87444444,Battle Mountain Airport,Nevada,NV,United States,Battle Mountain
BDE,48.72833333,-94.61222222,Baudette International,Minnesota,MN,United States,Baudette
WMH,36.36888889,-92.47055556,Baxter County,Arkansas,AR,United States,Mountain Home
BBC,28.97333333,-95.86333333,Bay City Regional,Texas,TX,United States,Bay City
PFN,30.2125,-85.68194444,Bay County,Florida,FL,United States,Panama City
BAB,39.13611111,-121.43666667,Beale AFB,California,CA,United States,Marysville
A71,59.73833333,-151.03,Bear Cove Farm,Alaska,AK,United States,Homer
BCC,57.6175,-155.86722222,Bear Creek Airport,Alaska,AK,United States,Bear Creek
03A,65.54805556,-161.07166667,Bear Creek Mining Strip,Alaska,AK,United States,Granite Mountain
AK2,60.71027778,-151.72111111,Bear Fish Camp Airport,Alaska,AK,United States,Bear Fish Camp
XBE,53.96555556,-91.02722222,Bearskin Lake Airport,Ontario,ON,Canada,Bearskin Lake
BIE,40.30138889,-96.75416667,Beatrice Municipal,Nebraska,NE,United States,Beatrice
BTY,36.86111111,-116.78638889,Beatty Airport,Nevada,NV,United States,Beatty
BFT,32.41222222,-80.63444444,Beaufort County,South Carolina,SC,United States,Beaufort
SC1,32.48055556,-80.71916667,Beaufort MCAS,South Carolina,SC,United States,Beaufort
MRH,34.73416667,-76.66027778,Beaufort Morehead City,North Carolina,NC,United States,Morehead City
WBQ,66.36222222,-147.40638889,Beaver Airport,Alaska,AK,United States,Beaver
BFP,40.7725,-80.39138889,Beaver County,Pennsylvania,PA,United States,Beaver Falls
YXQ,62.41027778,-140.86888889,Beaver Creek Airport,Yukon Territory,YT,Canada,Beaver Creek
BVD,53.8325,-166.3025,Beaver Inlet Seaport,Alaska,AK,United States,Beaver Inlet
BVR,45.69222222,-85.56666667,Beaver Island,Michigan,MI,United States,St. James
JAO,33.93333333,-84.15,Beaver Ruin,Georgia,GA,United States,Atlanta
PA2,40.08611111,-78.51361111,Bedford County,Pennsylvania,PA,United States,Bedford
YBW,48.74722222,-123.22972222,Bedwell Harbour Water Aerodrome,British Columbia,BC,Canada,Bedwell Harbour
BEC,37.69388889,-97.215,Beech Factory,Kansas,KS,United States,Wichita
NM1,34.645,-106.83361111,Belen Municipal,New Mexico,NM,United States,Belen
ME3,44.40944444,-69.01194444,Belfast Municipal,Maine,ME,United States,Belfast
A11,60.78388889,-159.54027778,Bell Creek Airport,Alaska,AK,United States,Bell Creek
KBE,55.92944444,-131.57,Bell Island Hot Springs Seaplane Base,Alaska,AK,United States,Bell Island
QBC,52.3875,-126.59583333,Bella Coola Airport,British Columbia,BC,Canada,Bella Coola
OH2,40.37222222,-83.81916667,Bellefontaine Regional,Ohio,OH,United States,Bellefontaine
BLI,48.79277778,-122.5375,Bellingham International,Washington,WA,United States,Bellingham
BVU,61.17277778,-151.04277778,Beluga Airport,Alaska,AK,United States,Beluga
BJI,47.51083333,-94.93472222,Bemidji Regional,Minnesota,MN,United States,Bemidji
OR4,44.09444444,-121.20027778,Bend Municipal,Oregon,OR,United States,Bend
CPX,18.31305556,-65.30388889,Benjamin Rivera Noriega,Puerto Rico,PR,United States,Culebra
ROP,14.17444444,145.24111111,Benjamin Taisacan Manglona International,U.S. Pacific Trust Territories and Possessions,TT,United States,Rota
WBS,34.62194444,-79.7325,Bennettsville Airport,South Carolina,SC,United States,Bennettsville
O85,40.57361111,-122.40722222,Benton Field,California,CA,United States,Redding
AR3,36.34527778,-94.21944444,Bentonville Municipal Louise M Thaden Field,Arkansas,AR,United States,Bentonville
YBV,52.35888889,-97.01805556,Berens River Airport,Manitoba,MB,Canada,Berens River
BSM,30.19472222,-97.67666667,Bergstrom AFB,Texas,TX,United States,Austin
SC4,33.18555556,-80.03611111,Berkeley County,South Carolina,SC,United States,Moncks Corner
JBK,37.86666667,-122.3,Berkeley Municipal Heliport,California,CA,United States,Oakland
BML,44.57527778,-71.17583333,Berlin Regional,New Hampshire,NH,United States,Berlin
UDD,33.74833333,-116.27472222,Bermuda Dunes Airport,California,CA,United States,Bermuda Dunes
VWP,44.97972222,-114.73472222,Bernard Usfs,Idaho,ID,United States,Bernard
BTM,45.95472222,-112.4975,Bert Mooney,Montana,MT,United States,Butte
EKY,33.3125,-86.92638889,Bessemer Airport,Alabama,AL,United States,Bessemer
BET,60.77861111,-161.83722222,Bethel Airport,Alaska,AK,United States,Bethel
ME5,44.42527778,-70.81,Bethel Regional,Maine,ME,United States,Bethel
BTT,66.91388889,-151.52916667,Bettles Airport,Alaska,AK,United States,Bettles
BVY,42.58416667,-70.91611111,Beverly Regional,Massachusetts,MA,United States,Beverly
CPS,38.57138889,-90.15722222,Bi-State Parks,Missouri,MO,United States,St. Louis
OQB,57.92638889,-156.08333333,Bible Camp Airport,Alaska,AK,United States,Bible Camp
B19,43.46416667,-70.4725,Biddeford Municipal,Maine,ME,United States,Biddeford
A50,58.5625,-152.59611111,Big Bay Airport,Alaska,AK,United States,Big Bay
YIG,50.38333333,-125.13333333,Big Bay Marina Airport,British Columbia,BC,Canada,Big Bay Marina
RBF,34.26388889,-116.85611111,Big Bear City Airport,California,CA,United States,Big Bear City
BIC,57.66666667,-157.58333333,Big Creek Airport,Alaska,AK,United States,Big Creek
BGQ,61.53472222,-149.8125,Big Lake Airport,Alaska,AK,United States,Big Lake
BMX,59.36111111,-155.25888889,Big Mountain AFS,Alaska,AK,United States,Big Mountain
A85,61.85944444,-154.27666667,Big River Airport,Alaska,AK,United States,Big River
UXN,37.75111111,-82.63666667,Big Sandy Regional,Kentucky,KY,United States,Prestonsburg
FVN,48.15361111,-104.50416667,Big Sky Field,Montana,MT,United States,Culbertson
RQB,43.4325,-113.05555556,Big Southern Butte,Idaho,ID,United States,Atomic City
BGS,32.2125,-101.52166667,Big Spring McMahon-Wrinkle,Texas,TX,United States,Big Spring
YTL,53.81777778,-89.89694444,Big Trout Lake Airport,Ontario,ON,Canada,Big Trout Lake
PWR,56.38333333,-134.65,Big and Little Port Walter,Alaska,AK,United States,Big Port Walter
BIF,31.84944444,-106.38,Biggs AAF,Texas,TX,United States,El Paso
LIT,34.72944444,-92.22472222,Bill and Hillary Clinton Nat Adams Field,Arkansas,AR,United States,Little Rock
BIL,45.80777778,-108.54361111,Billings Logan International,Montana,MT,United States,Billings
YTZ,43.62833333,-79.39611111,Billy Bishop Toronto City,Ontario,ON,Canada,Toronto
HNC,35.23277778,-75.61777778,Billy Mitchell,North Carolina,NC,United States,Hatteras
KBC,66.27444444,-145.81805556,Birch Creek Airport,Alaska,AK,United States,Birch Creek
BHM,33.56388889,-86.75222222,Birmingham-Shuttlesworth International,Alabama,AL,United States,Birmingham
DUG,31.46888889,-109.60388889,Bisbee Douglas International,Arizona,AZ,United States,Douglas
BSQ,31.36388889,-109.88305556,Bisbee Municipal,Arizona,AZ,United States,Bisbee
BIH,37.37305556,-118.36361111,Bishop Airport,California,CA,United States,Bishop
FNT,42.96555556,-83.74472222,Bishop International,Michigan,MI,United States,Flint
BIS,46.77277778,-100.74583333,Bismarck Municipal,North Dakota,ND,United States,Bismarck/Mandan
SPF,44.48111111,-103.78611111,Black Hills Clyde Ice Field,South Dakota,SD,United States,Spearfish
WI1,44.25083333,-90.85527778,Black River Falls Area,Wisconsin,WI,United States,Black River Falls
XXZ,35.08333333,-108.79166667,Black Rock,New Mexico,NM,United States,Zuni Pueblo
NV5,40.76222222,-119.21083333,Black Rock City,Nevada,NV,United States,Gerlach
B1C,50.75194444,-126.58722222,Blackfish Lodge,British Columbia,BC,Canada,Baker Island
BWS,48.99,-122.7325,Blaine Municipal,Washington,WA,United States,Blaine
A01,64.36361111,-147.36388889,Blair Lake,Alaska,AK,United States,Fairbanks/Ft. Wainwright
NE2,41.41472222,-96.10888889,Blair Municipal,Nebraska,NE,United States,Blair
1N7,40.97111111,-74.9975,Blairstown Airport,New Jersey,NJ,United States,Blairstown
ZXY,38.78638889,-108.06361111,Blake Field,Colorado,CO,United States,Delta
BYW,48.57888889,-122.82638889,Blakely Island Airport,Washington,WA,United States,Blakely Island
YBX,51.43361111,-57.21666667,Blanc Sablon Airport,Quebec,QC,Canada,Blanc Sablon
BDG,37.58333333,-109.48333333,Blanding Municipal,Utah,UT,United States,Blanding
A53,64.33333333,-147.5,Blear Lake Airport,Alaska,AK,United States,Blear Lake
B2C,50.40194444,-125.41916667,Blind Channel Water Aerodrome,British Columbia,BC,Canada,Blind Channel
BC3,50.03333333,-124.82222222,Bliss Landing Water Aerodrome,British Columbia,BC,Canada,Bliss Landing
BID,41.16805556,-71.57777778,Block Island State,Rhode Island,RI,United States,Block Island
CNK,39.54916667,-97.65222222,Blosser Municipal,Kansas,KS,United States,Concordia
BFB,58.18333333,-152.13333333,Blue Fox Bay Airport,Alaska,AK,United States,Blue Fox Bay
LEX,38.03666667,-84.60861111,Blue Grass,Kentucky,KY,United States,Lexington
LSD,38.09111111,-84.31666667,Blue Grass Station AHP,Kentucky,KY,United States,Lexington
QCX,36.62972222,-80.01666667,Blue Ridge,Virginia,VA,United States,Martinsville
