STATE_CODE,STATE_NAME,LATITUDE,LONGITUDE
AB,Alberta,54.01093567263159,-113.99080409210528
AK,Alaska,60.80353085501491,-149.81642964080834
AL,Alabama,32.720151515227286,-86.62824494954545
AR,Arkansas,35.28270115,-92.47651340965518
AZ,Arizona,34.23221340365079,-111.8980555553968
BC,British Columbia,51.17198232272728,-125.02816919159089
CA,California,36.18198674593909,-119.63679356974622
CO,Colorado,39.04345744702127,-105.92786643085105
CT,Connecticut,41.56724074133333,-72.72179629466667
DC,District of Columbia,38.87333333,-77.02333333
DE,Delaware,39.159120368333326,-75.479814815
FL,Florida,28.15364814833333,-82.18330555533333
GA,Georgia,32.89172123071428,-83.66053571392855
HI,Hawaii,20.97503623260869,-157.28060386608698
IA,Iowa,41.99546568617647,-93.16590686235294
ID,Idaho,44.01359318935485,-113.84120967774194
IL,Illinois,40.40916666738096,-88.86344576761906
IN,Indiana,40.32379629611111,-86.17848765361113
KS,Kansas,38.35532299767441,-97.26830749372094
KY,Kentucky,37.56546874968751,-85.8207638884375
LA,Louisiana,30.967733332799995,-91.9019666672
MA,Massachusetts,42.19943152465115,-71.40636304930233
MB,Manitoba,54.398159721875004,-98.22045138875
MD,Maryland,39.01719907458333,-76.926238425
ME,Maine,44.79850574758622,-69.43802682034483
MI,Michigan,44.25262711898306,-85.27149717542376
MN,Minnesota,45.93187363823529,-94.12966230941177
MO,Missouri,38.11289789783784,-92.42245495486486
MS,Mississippi,32.70335937499999,-89.51746527718748
MT,Montana,46.946988303947364,-110.23008040921052
NB,New Brunswick,46.538784721249996,-66.22225694500001
NC,North Carolina,35.44985353545455,-78.97925252527273
ND,North Dakota,47.332611111,-99.93111111149999
NE,Nebraska,41.223925926,-99.31700926
NH,New Hampshire,43.55692307769231,-71.49329059846153
NJ,New Jersey,40.189252873793095,-74.49830459793105
NL,Newfoundland and Labrador,51.924529914615384,-58.573141025384615
NM,New Mexico,34.41301075225806,-105.89821684580649
NS,Nova Scotia,45.102111109999996,-63.186444443999996
NT,Northwest Territories,65.00690170961539,-118.75239316192307
NU,Nunavut Territory,68.51033854125,-88.13564236
NV,Nevada,38.3455902784375,-116.68644097093748
NY,New York,42.32456240438357,-74.95688356150686
OH,Ohio,40.6215301320339,-82.8656732579661
OK,Oklahoma,35.41848958312501,-97.3355729165625
ON,Ontario,47.54394693208958,-83.67970563865669
OR,Oregon,44.05716124536585,-121.9370054207317
PA,Pennsylvania,40.58318415666665,-77.347237655
PE,Prince Edward Island,46.364861115,-63.474444445
PR,Puerto Rico,18.29369047642857,-66.09202380857143
QC,Quebec,50.12171934827588,-69.9667863987931
RI,Rhode Island,41.55571428428571,-71.48726190571428
SC,South Carolina,33.955277777368416,-80.7451315786842
SD,South Dakota,44.083961988947365,-99.87021929736841
SK,Saskatchewan,55.14144841214286,-106.13083333285714
TN,Tennessee,35.7964791665,-86.38127777825
TT,U.S. Pacific Trust Territories and Possessions,7.082264957692307,0.8827136746153795
TX,Texas,31.083734363377506,-98.28305555562916
UT,Utah,39.27296006968751,-111.59777777843749
VA,Virginia,37.72845833375,-78.06934722275
VI,U.S. Virgin Islands,18.091944444,-64.834277776
VT,Vermont,44.0025925925,-72.67460648166667
WA,Washington,47.709279184683524,-121.54937412101263
WI,Wisconsin,44.37182539690477,-89.57525793714288
WV,West Virginia,38.68456349071429,-80.68450396857143
WY,Wyoming,42.8840038313793,-107.59276819896553
YT,Yukon Territory,62.38608333300001,-136.79638888899999
