,AIRPORT,CITY,STATE,CITY_MARKET_ID
173,SMF,Sacramento,CA,33192
174,TYS,Knoxville,TN,35412
175,CHS,Charleston,SC,30994
176,BWI,Baltimore,MD,30852
177,NLG,Nelson Lagoon,AK,33704
178,WRG,Wrangell,AK,35841
179,CDB,Cold Bay,AK,30082
180,GFK,Grand Forks,ND,31898
181,OAK,Oakland,CA,32457
182,IMT,Iron Mountain/Kingsfd,MI,32335
183,CLT,Charlotte,NC,31057
184,DRO,Durango,CO,30285
185,BED,Bedford,MA,30540
186,RSW,Fort Myers,FL,31714
187,HYG,Hydaburg,AK,32252
188,PIT,Pittsburgh,PA,30198
189,LCH,Lake Charles,LA,31205
190,DRT,Del Rio,TX,31335
191,CYS,Cheyenne,WY,31233
192,GJT,Grand Junction,CO,31921
193,STX,Christiansted,VI,34992
194,VCT,Victoria,TX,35569
195,SBP,San Luis Obispo,CA,34236
196,LAW,Lawton/Fort Sill,OK,32891
197,ATW,Appleton,WI,30408
198,AOO,Altoona,PA,30322
199,OGG,Kahului,HI,33830
200,JFK,New York,NY,31703
201,LGB,Long Beach,CA,32575
202,KLL,Levelock,AK,32720
203,LGD,La Grande,OR,32956
204,SYR,Syracuse,NY,35096
205,IND,Indianapolis,IN,32337
206,HTS,Ashland,WV,32223
207,BZN,Bozeman,MT,30849
208,ADS,Dallas,TX,30194
209,GSO,Greensboro/High Point,NC,31995
210,RHI,Rhinelander,WI,34520
211,BIL,Billings,MT,30620
212,BIS,Bismarck/Mandan,ND,30627
213,FMN,Farmington,NM,31711
214,INT,Winston-Salem,NC,32348
215,GRR,Grand Rapids,MI,31986
216,ELI,Elim,AK,31535
217,ABQ,Albuquerque,NM,30140
218,ARC,Arctic Village,AK,30349
219,SGU,St. George,UT,34794
220,MGW,Morgantown,WV,33282
221,BNA,Nashville,TN,30693
222,MSP,Minneapolis,MN,31650
223,SFO,San Francisco,CA,32457
224,KTN,Ketchikan,AK,31401
225,ONP,Newport,OR,33890
226,TVF,Thief River Falls,MN,35381
227,JQF,CONCORD,NC,32544
228,KKB,Kitoi Bay,AK,32705
229,MTM,Metlakatla,AK,33504
230,TPA,Tampa,FL,33195
231,NZY,San Diego,CA,33570
232,TLT,Tuluksak,AK,35257
233,HRL,Harlingen/San Benito,TX,32206
234,OTZ,Kotzebue,AK,33970
235,WWT,Newtok,AK,35887
236,KKA,Koyuk,AK,32704
237,WRI,Fort Dix,NJ,35842
238,GPT,Gulfport/Biloxi,MS,31973
239,GUM,Guam,TT,32016
240,RAP,Rapid City,SD,34457
241,EAR,Kearney,NE,31468
242,PHX,Phoenix,AZ,30466
243,DTW,Detroit,MI,31295
244,ATL,Atlanta,GA,30397
245,IAB,Wichita,KS,30928
246,RKS,Rock Springs,WY,34543
247,MCO,Orlando,FL,31454
248,SGF,Springfield,MO,34783
249,EAA,Eagle,AK,31463
250,BMI,Bloomington/Normal,IL,30685
251,SDP,Sandpoint,AK,34738
252,DOV,Dover,DE,31375
253,NZC,Jacksonville,FL,31136
254,SPN,Saipan,TT,34955
255,PIB,Hattiesburg/Laurel,MS,34109
256,FNT,Flint,MI,31721
257,SMX,Santa Maria,CA,34905
258,NCN,Chenega,AK,31501
259,PPV,Port Protection,AK,34229
260,DAL,Dallas,TX,30194
261,OKC,Oklahoma City,OK,33851
262,PVD,Providence,RI,30721
263,OBU,Kobuk,AK,33806
264,RST,Rochester,MN,32547
265,TSP,Tehachapi,CA,35344
266,BOI,Boise,ID,30713
267,CDV,Cordova,AK,30913
268,VRB,Vero Beach,FL,35628
269,BUR,Burbank,CA,32575
270,SAN,San Diego,CA,33570
271,KMY,Moser Bay,AK,32743
272,AVP,Scranton/Wilkes-Barre,PA,30434
273,JAX,Jacksonville,FL,31136
274,SUU,Fairfield,CA,35045
275,MKC,Kansas City,MO,33198
276,PSG,Petersburg,AK,34256
277,BTT,Bettles,AK,30783
278,WA4,Medical Lake,WA,35705
279,ALB,Albany,NY,30257
280,MDT,Harrisburg,PA,32070
281,SCE,State College,PA,34711
282,DCA,Washington,VA,30852
283,BLD,Boulder City,NV,30661
284,KWK,Kwigillingok,AK,32851
285,SBA,Santa Barbara,CA,34689
286,DLG,Dillingham,AK,31336
287,FVQ,Donlin Creek Mine,AK,31813
288,CIU,Sault Ste. Marie,MI,31013
289,MLU,Monroe,LA,33377
290,RDU,Raleigh/Durham,NC,34492
291,ISO,Kinston,NC,32390
292,PTU,Platinum,AK,31406
293,DQH,Alpine,AK,30033
294,EGA,Chenega,AK,31501
295,APN,Alpena,MI,30333
296,PKA,Napaskiak,AK,34130
297,GTR,Columbus,MS,30894
298,AHN,Athens,GA,30216
299,BFL,Bakersfield,CA,30561
300,VPS,Valparaiso,FL,31504
301,PQI,Presque Isle/Houlton,ME,34231
302,ITO,Hilo,HI,32402
303,TLA,Teller,AK,35245
304,MRY,Monterey,CA,34922
305,CHA,Chattanooga,TN,30980
306,MYR,Myrtle Beach,SC,31135
307,LBF,North Platte,NE,32899
308,PWM,Portland,ME,34321
309,HIF,Ogden,UT,32131
310,LIT,Little Rock,AR,32600
311,BFM,Mobile,AL,30562
312,CWA,Mosinee,WI,30424
313,BUF,Buffalo,NY,30792
314,CPR,Casper,WY,31122
315,AXN,Alexandria,MN,30449
316,LEX,Lexington,KY,32945
317,BHB,Bar Harbor,ME,30589
318,NME,Nightmute,AK,33710
319,HSV,Huntsville,AL,30255
320,LAS,Las Vegas,NV,32211
321,ORH,Worcester,MA,33933
322,PTH,Port Heiden,AK,34273
323,IPL,El Centro,CA,32363
324,HII,Lake Havasu City,AZ,32132
325,UTM,Tunica,MS,35502
326,MWH,Moses Lake,WA,33546
327,RBG,Roseburg,OR,34467
328,PSC,Pasco/Kennewick/Richland,WA,34252
329,EUG,Eugene,OR,31603
330,MSY,New Orleans,LA,33495
331,LAN,Lansing,MI,32884
332,EVV,Evansville,IN,31612
333,IPT,Williamsport,PA,32365
334,HYL,Hollis,AK,32253
335,PDT,Pendleton,OR,34054
336,BRO,Brownsville,TX,30747
337,LMT,Klamath Falls,OR,33024
338,ILG,Wilmington,DE,32320
339,GRB,Green Bay,WI,31977
340,VEE,Venetie,AK,35581
341,ROC,Rochester,NY,34576
342,FRG,East Farmingdale,NY,31764
343,MGM,Montgomery,AL,33277
344,APA,Denver,CO,30325
345,MQT,Marquette,MI,33459
346,HUS,Hughes,AK,32235
347,JST,Johnstown,PA,32559
348,DRG,Deering,AK,31411
349,PIA,Peoria,IL,34108
350,CRP,Corpus Christi,TX,31140
351,GYY,Gary,IN,30977
352,LNY,Lanai,HI,33034
353,BPT,Beaumont/Port Arthur,TX,30728
354,GTF,Great Falls,MT,31895
355,JAC,Jackson,WY,32441
356,WAA,Wales,AK,35709
357,BRD,Brainerd,MN,30739
358,AMA,Amarillo,TX,30279
359,AGN,Angoon,AK,30204
360,ROP,Rota,TT,34582
361,SCF,Phoenix,AZ,30466
362,GLH,Greenville,MS,31931
363,BLI,Bellingham,WA,30666
364,YNG,Youngstown/Warren,OH,36133
365,SWF,Newburgh/Poughkeepsie,NY,31703
366,GUP,Gallup,NM,32018
367,SSB,Christiansted,VI,34992
368,MHV,Mojave,CA,33297
369,SCM,Scammon Bay,AK,34718
370,SJT,San Angelo,TX,34842
371,CID,Cedar Rapids/Iowa City,IA,31003
372,FOE,Topeka,KS,31726
373,ORF,Norfolk,VA,33667
374,WFB,Ketchikan,AK,31401
375,RDB,Red Dog,AK,34485
376,FAT,Fresno,CA,31638
377,MVW,Burlington/Mount Vernon,WA,33540
378,FYV,Fayetteville,AR,31834
379,PRB,Paso Robles,CA,34236
380,OPF,Miami,FL,32467
381,HOT,Hot Springs,AR,32190
382,MCN,Macon,GA,33155
383,DAY,Dayton,OH,31267
384,JMS,Jamestown,ND,32519
385,KTB,Thorne Bay,AK,32815
386,GNV,Gainesville,FL,31953
387,KZB,Zachar Bay,AK,32869
388,YUM,Yuma,AZ,33785
389,PIH,Pocatello,ID,34113
390,ILI,Iliamna,AK,32321
391,CAK,Akron,OH,30647
392,ODW,Oak Harbor,WA,33821
393,LGA,New York,NY,31703
394,BKG,Branson,MO,30643
395,BTR,Baton Rouge,LA,30781
396,PTA,Port Alsworth,AK,34268
397,MHT,Manchester,NH,30721
398,VOK,Camp Douglas,WI,35620
399,JAN,Jackson/Vicksburg,MS,32448
400,CIC,Chico,CA,31002
401,PAE,Everett,WA,34004
402,PGA,Page,AZ,34081
403,WNA,Napakiak,AK,35798
404,MRI,Anchorage,AK,30299
405,KVC,King Cove,AK,32841
406,MYK,May Creek,AK,33574
407,AKI,Akiak,AK,30241
408,KKK,Kalakaket,AK,32711
409,EAT,Wenatchee,WA,31470
410,DUT,Unalaska,AK,31445
411,AEX,Alexandria,LA,30185
412,XWA,Granite Point,AK,35934
413,AOS,Amook Bay,AK,30324
414,MER,Atwater,CA,33249
415,EKA,Eureka,CA,30157
416,VIS,Visalia,CA,35601
417,KBC,Birch Creek,AK,32621
418,UAM,Guam,TT,32016
419,ZXT,Cloverdale,CA,36352
420,MSO,Missoula,MT,33486
421,PIE,St. Petersburg,FL,33195
422,TOG,Togiak,AK,35293
423,SFF,Spokane,WA,31884
424,ATS,Artesia,NM,30404
425,RME,Rome,NY,34553
426,TLH,Tallahassee,FL,35249
427,EAU,Eau Claire,WI,31471
428,BGR,Bangor,ME,30581
429,KCL,Chignik Lagoon,AK,32631
430,HKB,Healy,AK,32141
431,CVO,Corvallis,OR,31198
432,NIB,Nikolai,AK,33676
433,ESC,Escanaba,MI,31587
434,ABI,Abilene,TX,30136
435,GCN,Grand Canyon,AZ,30463
436,OQC,Cinder River Lodge,AK,33903
437,DAB,Daytona Beach,FL,31252
438,PTK,Pontiac,MI,34275
439,ENN,Nenana,AK,31559
440,ANB,Anniston,AL,30298
441,PKB,Parkersburg,WV,34131
442,STS,Santa Rosa,CA,34433
443,AND,Anderson,SC,30300
444,IYK,Inyokern,CA,32436
445,SQA,Santa Ynez,CA,34965
446,CMH,Columbus,OH,31066
447,RQW,Parowan,UT,34615
448,UXR,Monument Valley,UT,35532
449,NGU,Norfolk,VA,33667
450,HOU,Houston,TX,31453
451,MOT,Minot,ND,33304
452,HPN,White Plains,NY,31703
453,PUC,Price,UT,34289
454,PGD,Punta Gorda,FL,34082
455,DIK,Dickinson,ND,31315
456,HIK,Honolulu,HI,32134
457,WSN,South Naknek,AK,35853
458,SFB,Sanford,FL,34761
459,FYU,Fort Yukon,AK,31833
460,C01,Camarillo,CA,30857
461,GRI,Grand Island,NE,31980
462,UTO,Utopia,AK,35504
463,LAF,Lafayette,IN,32878
464,BIH,Bishop,CA,30617
465,BOK,Brookings,OR,30715
466,ACT,Waco,TX,30155
467,CEC,Crescent City,CA,30930
468,STT,Charlotte Amalie,VI,34945
